Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,K-Means - Normalize,K-Means - Normalize,K-Means - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Birch - Normalize,Birch - Normalize,Birch - Normalize,K-Means - Transform,K-Means - Transform,K-Means - Transform,Hierarchical - Transform,Hierarchical - Transform,Hierarchical - Transform,Birch - Transform,Birch - Transform,Birch - Transform,K-Means - PCA,K-Means - PCA,K-Means - PCA,Hierarchical - PCA,Hierarchical - PCA,Hierarchical - PCA,Birch - PCA,Birch - PCA,Birch - PCA,K-Means - T+N,K-Means - T+N,K-Means - T+N,Hierarchical - T+N,Hierarchical - T+N,Hierarchical - T+N,Birch - T+N,Birch - T+N,Birch - T+N,K-Means - T+N+PCA,K-Means - T+N+PCA,K-Means - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.540441825,0.562032345,0.508179747,0.56447964,0.560672695,0.507484304,0.56447964,0.560672695,0.507484304,0.202412808,0.151274733,-0.036713406,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.202412808,0.158873859,0.056580936,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.118800998,0.095393578,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.114987422,0.069555122,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.194281841,0.097541977,0.119988383,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994
Calinski-Harabasz,497.4264908,708.0866764,745.1974292,552.8517115,670.6259906,684.2226129,552.8517115,670.6259906,684.2226129,193.2849626,157.0969306,88.4632181,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,193.2849626,157.6689077,116.4206419,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,127.1233212,116.2845301,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,129.9351093,112.6165732,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,199.299119,135.0610055,107.1604916,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508
Davies-Bouldin,0.558381915,0.544344691,0.574418625,0.535734307,0.55357395,0.551314525,0.535734307,0.55357395,0.551314525,1.210266732,3.971027901,6.001933183,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.210266732,4.512842803,2.714215819,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,3.450141555,4.85358322,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,1.654221704,4.195410902,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.520759046,3.289258012,12.34962126,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501
